mmsi,timestamp,lon,lat,sog,cog
419000001,2025-06-11T04:30:00Z,74.98,9.3193,4.7,0.0
419000001,2025-06-11T04:35:00Z,74.98667,9.31962,4.7,87.0
419000001,2025-06-11T04:40:00Z,74.99333,9.31994,4.7,87.0
419000001,2025-06-11T04:45:00Z,75.0,9.32026,4.7,87.0
419000001,2025-06-11T04:50:00Z,75.00667,9.32058,4.7,87.0
419000001,2025-06-11T04:55:00Z,75.01333,9.3209,4.7,87.0
419000001,2025-06-11T05:00:00Z,75.02,9.32122,4.7,87.0
419000001,2025-06-11T05:05:00Z,75.02667,9.32154,4.7,87.0
419000001,2025-06-11T05:10:00Z,75.03333,9.32186,4.7,87.0
419000001,2025-06-11T05:15:00Z,75.04,9.32218,4.7,87.0
419000001,2025-06-11T05:20:00Z,75.04667,9.3225,4.7,87.0
419000001,2025-06-11T05:25:00Z,75.05333,9.32282,4.7,87.0
419000001,2025-06-11T05:30:00Z,75.06,9.32314,4.7,87.0
419000001,2025-06-11T05:35:00Z,75.06667,9.32346,4.7,87.0
419000001,2025-06-11T05:40:00Z,75.07333,9.32378,4.7,87.0
419000001,2025-06-11T05:45:00Z,75.08,9.3241,4.7,87.0
419000001,2025-06-11T05:50:00Z,75.08667,9.32442,4.7,87.0
419000001,2025-06-11T05:55:00Z,75.09333,9.32474,4.7,87.0
419000001,2025-06-11T06:00:00Z,75.1,9.32506,4.7,87.0
419000001,2025-06-11T06:05:00Z,75.10667,9.32538,4.7,87.0
419000001,2025-06-11T06:10:00Z,75.11333,9.3257,4.7,87.0
419000001,2025-06-11T06:15:00Z,75.12,9.32602,4.7,87.0
419000001,2025-06-11T06:20:00Z,75.12667,9.32634,4.7,87.0
419000001,2025-06-11T06:25:00Z,75.13333,9.32666,4.7,87.0
419000001,2025-06-11T06:30:00Z,75.14,9.32697,4.7,87.0
419000001,2025-06-11T06:35:00Z,75.14667,9.32729,4.7,87.0
419000001,2025-06-11T06:40:00Z,75.15333,9.32761,4.7,87.0
419000001,2025-06-11T06:45:00Z,75.16,9.32793,4.7,87.0
419000001,2025-06-11T06:50:00Z,75.16667,9.32825,4.7,87.0
419000001,2025-06-11T06:55:00Z,75.17333,9.32857,4.7,87.0
419000001,2025-06-11T07:00:00Z,75.18,9.32889,4.7,87.0
419000001,2025-06-11T07:05:00Z,75.18667,9.32921,4.7,87.0
419000001,2025-06-11T07:10:00Z,75.19333,9.32953,4.7,87.0
419000001,2025-06-11T07:15:00Z,75.2,9.32985,4.7,87.0
419000001,2025-06-11T07:20:00Z,75.20667,9.33017,4.7,87.0
419000001,2025-06-11T07:25:00Z,75.21333,9.33049,4.7,87.0
419000001,2025-06-11T07:30:00Z,75.22,9.33081,4.7,87.0
419000001,2025-06-11T07:35:00Z,75.22667,9.33113,4.7,87.0
419000001,2025-06-11T07:40:00Z,75.23333,9.33145,4.7,87.0
419000001,2025-06-11T07:45:00Z,75.24,9.33177,4.7,87.0
419000001,2025-06-11T07:50:00Z,75.24667,9.33209,4.7,87.0
419000001,2025-06-11T07:55:00Z,75.25333,9.33241,4.7,87.0
419000001,2025-06-11T08:00:00Z,75.26,9.33273,4.7,87.0
419000001,2025-06-11T08:05:00Z,75.26667,9.33305,4.7,87.0
419000001,2025-06-11T08:10:00Z,75.27333,9.33337,4.7,87.0
419000001,2025-06-11T08:15:00Z,75.28,9.33369,4.7,87.0
419000001,2025-06-11T08:20:00Z,75.28667,9.33401,4.7,87.0
419000001,2025-06-11T08:25:00Z,75.29333,9.33433,4.7,87.0
419000001,2025-06-11T08:30:00Z,75.3,9.33465,4.7,87.0
419000001,2025-06-11T08:35:00Z,75.30667,9.33497,4.7,87.0
419000001,2025-06-11T08:40:00Z,75.31333,9.33529,4.7,87.0
419000001,2025-06-11T08:45:00Z,75.32,9.33561,4.7,87.0
419000001,2025-06-11T08:50:00Z,75.32667,9.33593,4.7,87.0
419000001,2025-06-11T08:55:00Z,75.33333,9.33625,4.7,87.0
419000001,2025-06-11T09:00:00Z,75.34,9.33657,4.7,87.0
419000001,2025-06-11T09:05:00Z,75.34667,9.33689,4.7,87.0
419000001,2025-06-11T09:10:00Z,75.35333,9.33721,4.7,87.0
